ID,Decision,Build_Selfcon,Tier,Marital_Status,Employer_Type,OldEmi_d,BankSave_d,Age,YrsAdd,YrsJob,TotInc,MarVal,LoanReq,Term,CalcEmi,IIR,IAR,OldEmi,LTV,FOIR
AJM-39R8-519413,0,Self Contruction,3,Married,Business,1,0,31,25,4,51090,500000,200000,84,4087.159912,7.999921535,10.99999976,7306,40,22.30017599
AJM-3A3Z-876970,0,Self Contruction,3,Married,Ind/SmallBus,1,0,41,2,15,22386,450704,320000,180,4924.810059,21.99950888,38.99912938,2431,71.0000355,32.85897462
AJM-7427-952085,1,Self Contruction,3,Married,Ind/SmallBus,0,0,51,9,8,32536,2777778,500000,84,11712.96973,36.00002989,56.0000465,0,17.99999856,36.00002989
AJM-8ZTZ-979040,1,Self Contruction,3,Married,Business,0,0,26,2,6,41595,1785714,1000000,180,15390.04004,36.99973564,52.99965576,0,56.00000896,36.99973564
AJM-9SP2-614810,1,Self Contruction,3,Married,Business,0,0,31,30,15,37537,1960784,1000000,180,15390.04004,40.99965378,57.00014829,0,51.00000816,40.99965378
AJM-080X-726261,1,Self Contruction,3,Married,Business,0,0,43,16,15,17314,540000,135000,180,2077.659912,11.99988398,20.00057674,0,25,11.99988398
AJM-70DK-845211,1,Self Contruction,3,Married,Business,0,0,32,6,20,18167,703704,380000,84,8901.860352,49.00016707,71.99822348,0,53.99997726,49.00016707
AJM-D2PG-505694,0,Self Contruction,3,Married,Business,0,0,35,8,5,30177,2000000,1000000,180,15390.04004,50.99923796,68.00123736,0,50,50.99923796
AJM-KLH4-776161,1,Self Contruction,3,Married,Ind/SmallBus,1,0,56,15,34,20927,820833,197000,60,5440.930176,25.99957077,48.99973141,4997,24.00000975,49.87781419
AJM-9691-515520,1,Self Contruction,3,Unmarried,Business,0,0,29,15,15,36450,1323529,450000,180,6925.52002,19.00005492,22.99996685,0,34.00001058,19.00005492
AJM-YI12-602023,1,Self Contruction,3,Married,Business,0,0,25,24,10,48094,1515152,500000,180,7695.02002,15.99995846,20.99997276,0,32.99998944,15.99995846
AJM-WL74-717154,1,Self Contruction,3,Married,Govt,1,0,41,15,7,20195,833333,250000,84,5856.490234,28.99970406,58.00228023,3496,30.000012,46.3109197
AJM-663N-804424,1,Self Contruction,3,Married,Business,0,0,26,8,4,23420,673077,350000,180,5386.52002,22.9996585,31.99976249,0,51.99999406,22.9996585
AMR-1NYI-659839,1,Self Contruction,2,Married,Ind/SmallBus,1,1,31,10,1,18012,1500000,150000,60,4142.839844,23.00044328,48.99869715,2365,10,36.13057875
AMR-ZCWD-979452,0,Self Contruction,2,Married,Ind/SmallBus,0,0,44,7,8,36040,500000,200000,84,4685.189941,12.99997209,19.99995706,0,40,12.99997209
AMR-79LA-503464,1,Self Contruction,2,Married,Business,0,1,36,3,7,38475,3437500,550000,180,8464.519531,22.00005076,48.99866588,0,16,22.00005076
AMR-H7XU-844395,1,Self Contruction,2,Married,Business,0,0,34,7,6,23085,600000,450000,180,6925.52002,30.00008672,53.00007668,0,75,30.00008672
AMR-TBCX-548314,1,Self Contruction,2,Married,Business,0,0,45,20,20,29238,1818182,200000,60,4970.52002,17.00020528,53.00191959,0,10.9999989,17.00020528
AMR-002F-613350,1,Self Contruction,2,Married,Govt,0,0,48,47,3,14094,1250000,200000,84,4087.159912,28.99928985,51.00024847,0,16,28.99928985
AMR-ED1I-552779,1,Self Contruction,2,Unmarried,Business,0,0,22,20,2,24027,1666667,400000,84,9370.379883,38.99937521,74.9990386,0,23.9999952,38.99937521
AMR-VFY1-729829,1,Self Contruction,2,Married,Business,0,0,57,20,15,41380,3225806,1000000,120,17379.76953,42.00040969,58.00023204,0,31.00000434,42.00040969
AMR-QKSD-490166,1,Self Contruction,2,Married,Business,0,0,32,12,5,30963,3333333,500000,84,10217.90039,33.00035652,73.99985799,0,15.0000015,33.00035652
AMR-RD62-697333,0,Self Contruction,2,Married,Business,0,0,54,53,30,20710,303030,100000,60,2485.26001,12.00028976,15.9998713,0,33.000033,12.00028976
BHP-9470-541137,1,Self Contruction,2,Married,Business,1,0,51,25,30,36364,1555556,700000,180,11272.9502,31.00030303,63.99994434,2316,44.99998714,37.36923934
BHP-R2H3-812619,1,Self Contruction,2,Married,Ind/SmallBus,0,0,31,1,3,10260,727273,240000,180,3693.610107,36.00009851,79.00770283,0,32.99998763,36.00009851
BHP-789U-977432,1,Self Contruction,2,Married,Ind/SmallBus,0,0,53,12,10,14452,972222,350000,180,5636.470215,39.00131618,85.00181292,0,36.00000823,39.00131618
BHP-HZTR-876435,1,Self Contruction,2,Married,Corporate,0,0,46,2,15,11952,806452,250000,84,5856.490234,49.00008563,81.00263118,0,30.99998512,49.00008563
BHP-YKEP-548435,0,Self Contruction,2,Married,Business,0,0,49,10,20,201500,703125,500000,60,12426.29004,6.16689332,7.618816701,0,71.11111111,6.16689332
BHP-6Z99-913153,1,Self Contruction,2,Married,Govt,0,0,52,2,31,25650,1666667,800000,180,12312.03027,48.00011803,90.0002213,0,47.9999904,48.00011803
BHP-T720-684505,1,Self Contruction,2,Married,Business,0,0,29,1,16,71820,2413793,700000,180,10773.03027,15.00004215,23.00012868,0,29.00000124,15.00004215
BHP-IK29-596326,1,Self Contruction,2,Married,Business,0,0,33,3,25,41595,1298701,1000000,180,15390.04004,36.99973564,73.00085399,0,77.00001771,36.99973564
BHP-Y16D-728973,1,Self Contruction,2,Married,Business,1,0,28,10,10,37537,1818182,1000000,180,15390.04004,40.99965378,77.99929065,1941,54.9999945,46.17055183
BHP-DR6B-582880,1,Self Contruction,2,Married,Govt,0,0,42,3,14,32745,2083333,1000000,180,15390.04004,46.99966419,98.00076439,0,48.00000768,46.99966419
BHP-40L2-642356,1,Self Contruction,2,Married,Business,1,0,46,8,15,28856,1276596,600000,180,9234.030273,32.00038215,50.99983582,1212,46.9999906,36.20054849
BHP-OR97-497281,1,Self Contruction,2,Married,Ind/SmallBus,0,0,56,1,10,18468,1071429,600000,180,9234.030273,50.00016392,88.00181334,0,55.9999776,50.00016392
BHP-C1SL-615955,1,Self Contruction,2,Married,Govt,1,0,48,5,22,64125,3703704,1000000,180,15390.04004,24.00006244,58.99957845,15602,26.99999784,48.33066673
BHP-L60P-864808,1,Self Contruction,2,Married,Business,0,0,40,5,15,28500,2777778,500000,180,7695.02002,27.00007024,60.99896964,0,17.99999856,27.00007024
BHP-R3K9-898433,1,Self Contruction,2,Married,Business,0,0,43,15,30,21161,1100000,550000,180,8464.519531,40.00056487,83.00176046,0,50,40.00056487
CHN-T21O-866226,0,Self Contruction,3,Married,Business,1,0,26,6,7,45736,1315789,500000,120,8689.879883,19.0000872,32.99996158,9390,38.00001368,39.53096004
CHN-J63E-892624,1,Self Contruction,3,Married,Business,1,0,32,30,6,57000,1250000,1000000,180,15390.04004,27.00007024,50.99923796,22059,80,65.70007024
CHN-0526-904598,1,Self Contruction,3,Married,Govt,0,0,50,14,18,18976,909091,500000,144,8159.609863,42.99963039,57.00041819,0,54.9999945,42.99963039
CHN-01OW-980048,1,Self Contruction,3,Unmarried,Ind/SmallBus,0,0,30,28,10,18020,1111111,200000,84,4685.189941,25.99994418,42.00080629,0,18.0000018,25.99994418
CHN-IMB1-853042,0,Self Contruction,3,Married,Business,0,0,42,41,20,20916,1515152,500000,84,11712.96973,56.0000465,75.99902496,0,32.99998944,56.0000465
CHN-6YDP-510752,1,Self Contruction,3,Married,Ind/SmallBus,0,0,50,25,35,24181,500000,300000,150,4836.290039,20.00037235,26.00016149,0,60,20.00037235
CHN-D6S7-917152,0,Self Contruction,3,Married,Business,0,0,49,22,20,12312,500000,200000,180,3078.01001,25.0000813,35.00125096,0,40,25.0000813
CHN-UC7L-949070,0,Self Contruction,3,Married,Business,0,0,26,20,5,12550,1875000,150000,84,3513.889893,27.99912265,49.9984333,0,8,27.99912265
CHN-72UZ-627168,1,Self Contruction,3,Married,Govt,0,0,33,20,15,27982,1403509,800000,180,12312.03027,43.99982229,54.00013278,0,56.99999074,43.99982229
DEL-GF2M-704700,1,Self Contruction,1,Married,Business,0,0,44,20,0,56488,757576,500000,180,7343.5,13.00010622,14.99989787,0,65.99997888,13.00010622
DEL-IA79-499553,1,Self Contruction,1,Married,Corporate,0,0,40,10,16,22253,943396,500000,180,7343.5,33.00004494,64.00122015,0,53.00001272,33.00004494
DEL-466G-536331,0,Self Contruction,1,Married,Ind/SmallBus,0,0,40,12,5,19117,400000,300000,60,7455.77002,39.00073243,62.00224548,0,75,39.00073243
DEL-6ZFL-641274,1,Self Contruction,1,Unmarried,Business,1,0,28,25,6,51090,1818182,800000,84,16348.63965,31.99968614,77.99923496,2304,43.9999956,36.50937492
DEL-UP94-924007,1,Self Contruction,1,Married,Business,0,0,30,2,8,23190,1363636,600000,180,8812.200195,38.00000084,58.0017126,0,44.00001173,38.00000084
DEL-YI94-746883,1,Self Contruction,1,Married,Govt,0,0,29,5,15,13004,801887,425000,180,6241.97998,48.00046125,86.99623666,0,52.99998628,48.00046125
DEL-D4F9-730606,1,Self Contruction,1,Married,Business,0,0,42,10,19,29793,1500000,600000,84,11917.24023,40.00013505,74.00174015,0,40,40.00013505
DEL-H08R-731210,0,Self Contruction,1,Married,Ind/SmallBus,0,0,37,1,5,16728,602410,500000,180,7695.02002,46.00083704,76.00019772,0,82.9999502,46.00083704
DEL-5XPK-732056,0,Self Contruction,1,Unmarried,Ind/SmallBus,0,0,28,2,5,38475,1038961,800000,180,12312.03027,32.00007868,42.99944216,0,77.00000289,32.00007868
DEL-NDOH-969171,1,Builder,1,Married,Corporate,0,0,36,13,2,8812,508475,300000,180,4406.100098,50.00113592,74.002353,0,58.99995083,50.00113592
DEL-K23U-890452,1,Self Contruction,1,Married,Business,1,0,38,3,16,32638,1194030,800000,180,11749.61035,35.9997866,87.99887921,9028,66.99999163,63.66079524
DEL-V0FC-770829,1,Self Contruction,1,Married,Corporate,0,0,48,20,1,17911,746269,500000,180,7343.5,40.99994417,68.99840271,0,66.99996918,40.99994417
DEL-4N2N-930422,1,Builder,1,Married,Corporate,0,0,31,28,3,22677,559719,447775,180,6576.470215,29.00061831,49.00134278,0,79.99996427,29.00061831
